Dataset,nVar,Year,Month,Prec,Tavg,Tmin,Tmax
Princeton,1,2033,12,90.9460083672605,26.314,21.988,31.14
Princeton,1,2034,1,2.60939388698762,27.043,22.147,32.636
Princeton,1,2034,2,89.5835331459927,27.579,22.761,32.75
Princeton,1,2034,3,23.0919204149045,27.4,22.311,32.888
Princeton,1,2034,4,118.314844990061,26.704,22.294,31.422
Princeton,1,2034,5,33.8501087818046,25.924,22.236,30.285
Princeton,1,2034,6,43.3985456322819,24.333,20.451,28.971
Princeton,1,2034,7,140.216507514874,23.524,19.97,27.676
Princeton,1,2034,8,34.7903895812992,23.395,19.724,27.595
Princeton,1,2034,9,263.335958053572,23.805,19.917,28.025
Princeton,1,2034,10,134.345485937542,24.891,20.881,29.172
Princeton,1,2034,11,264.25330517503,25.662,22.004,29.528
Princeton,1,2034,12,129.758750330251,26.614,22.548,30.867
Princeton,1,2035,1,3.2835973591085,27.043,22.147,32.636
Princeton,1,2035,2,112.729724065298,27.579,22.761,32.75
Princeton,1,2035,3,29.058307091636,27.4,22.311,32.888
Princeton,1,2035,4,148.884503213577,26.704,22.294,31.422
Princeton,1,2035,5,42.5961478471097,25.924,22.236,30.285
Princeton,1,2035,6,54.6116669230881,24.333,20.451,28.971
Princeton,1,2035,7,176.445018927662,23.524,19.97,27.676
Princeton,1,2035,8,43.7793741761961,23.395,19.724,27.595
Princeton,1,2035,9,331.375520091082,23.805,19.917,28.025
Princeton,1,2035,10,169.057069165562,24.891,20.881,29.172
Princeton,1,2035,11,332.52988724141,25.662,22.004,29.528
Princeton,1,2035,12,163.285233413921,26.614,22.548,30.867
Princeton,1,2036,1,1.77405995454374,26.842,22.069,32.346
Princeton,1,2036,2,31.4688039170875,27.451,22.834,33.031
Princeton,1,2036,3,16.0250458234371,27.5,23.419,31.975
Princeton,1,2036,4,72.1447902684747,27.257,23.235,31.892
Princeton,1,2036,5,329.559946023859,25.153,21.712,29.093
