Id,dataset,K,nclim,prio,alpha,rel_dom,rel_irr,rel_eco,crel_dom,crel_irr,crel_eco
726,Princeton,120,121,3,0.9,73.1666666666667,72,83.5,86.7217246700691,71.7448737747243,79.8765221048098
727,Princeton,120,122,1,0.5,73,70.8333333333333,89.3333333333333,84.0446121354332,73.3076642306066,93.1534577766343
728,Princeton,120,122,1,0.9,71.5,70.8333333333333,84,84.8904961661086,69.9363816027116,97.6750355747492
729,Princeton,120,122,2,0.5,74.1666666666667,70.8333333333333,84,84.7589971947204,73.3076642306066,85.4014640050874
730,Princeton,120,122,2,0.9,72,70.8333333333333,83,86.1781778833353,69.9363816027116,83.7020380688429
731,Princeton,120,122,3,0.5,74.1666666666667,71.5,82.6666666666667,84.7589971947204,74.2358421509347,81.6294559263925
732,Princeton,120,122,3,0.9,72,71.1666666666667,82.6666666666667,86.1781778833353,71.1140911329257,78.915962290663
733,Princeton,120,123,1,0.5,72.3333333333333,70.3333333333333,88.6666666666667,83.4278111612361,72.6933918180503,92.8555430738595
734,Princeton,120,123,1,0.9,70.6666666666667,70.3333333333333,83.5,84.3843300683042,69.0341862609922,97.5918013059387
735,Princeton,120,123,2,0.5,72.8333333333333,70.3333333333333,83.6666666666667,84.164635561213,72.6933918180503,84.8600536874445
736,Princeton,120,123,2,0.9,70.8333333333333,70.3333333333333,82.5,85.7644930875535,69.0341862609922,82.615263107316
737,Princeton,120,123,3,0.5,72.8333333333333,70.6666666666667,82.3333333333333,84.164635561213,73.5764855160588,81.2121054739017
738,Princeton,120,123,3,0.9,70.8333333333333,70.3333333333333,82.3333333333333,85.7644930875535,70.186165446849,77.8565830005945
739,Princeton,120,124,1,0.5,71.5,69.1666666666667,88.1666666666667,82.9055623014277,71.8078574024079,92.3634618719143
740,Princeton,120,124,1,0.9,69.8333333333333,69.1666666666667,83.1666666666667,83.8445056382199,68.1539596884632,97.5157724928297
741,Princeton,120,124,2,0.5,72.1666666666667,69.1666666666667,83.1666666666667,83.6341627525585,71.8078574024079,84.4572128740032
742,Princeton,120,124,2,0.9,70,69.1666666666667,82.1666666666667,85.2506713418492,68.1539596884632,82.2570718319088
743,Princeton,120,124,3,0.5,72.1666666666667,70,81.6666666666667,83.6341627525585,72.7762986041679,80.3911700691248
744,Princeton,120,124,3,0.9,70,69.3333333333333,81.6666666666667,85.2506713418492,69.3223929871836,77.3513534479653
745,Princeton,120,125,1,0.5,71.1666666666667,68.6666666666667,87.6666666666667,82.2774154259303,71.1644267484572,92.0980159007608
746,Princeton,120,125,1,0.9,69.5,68.6666666666667,82.8333333333333,83.3008563672754,67.3043752080595,97.462665218997
747,Princeton,120,125,2,0.5,71.6666666666667,68.6666666666667,83.1666666666667,83.0160537246573,71.1644267484572,84.0828433873955
748,Princeton,120,125,2,0.9,69.5,68.6666666666667,82,84.7302523676237,67.3043752080595,81.9518860562423
749,Princeton,120,125,3,0.5,71.6666666666667,69.6666666666667,81.1666666666667,83.0160537246573,72.1322965173959,79.9530795579881
750,Princeton,120,125,3,0.9,69.5,68.8333333333333,81.1666666666667,84.7302523676237,68.4608352151557,77.0174342728186
751,Princeton,120,126,1,0.5,69.8333333333333,67,87.6666666666667,81.7845306491661,70.1772359926195,91.9785507448845
752,Princeton,120,126,1,0.9,67.6666666666667,67,82.1666666666667,82.7244425226248,66.5851084732989,97.354073438758
753,Princeton,120,126,2,0.5,71,67,82.3333333333333,82.5532968621494,70.1772359926195,83.6364517363065
754,Princeton,120,126,2,0.9,68,67,81,84.1790707268008,66.5851084732989,81.5694925154952
755,Princeton,120,126,3,0.5,71,68.3333333333333,80.3333333333333,82.5532968621494,71.2210420585648,79.110710120042
756,Princeton,120,126,3,0.9,68,67.3333333333333,80.3333333333333,84.1790707268008,67.8219512982021,76.206780774236
757,Princeton,120,127,1,0.5,81.5,79.5,93.3333333333333,89.2478532993859,80.3288129450994,95.8268235004661
758,Princeton,120,127,1,0.9,80,79.5,89.5,89.9675248348503,77.6445282392895,98.5608710002043
759,Princeton,120,127,2,0.5,82.3333333333333,79.5,89.6666666666667,89.6987864496562,80.3288129450994,90.9336207006101
760,Princeton,120,127,2,0.9,80,79.5,88.8333333333333,90.7580837186706,77.6445282392895,89.9822935737232
761,Princeton,120,127,3,0.5,82.3333333333333,79.6666666666667,88.8333333333333,89.6987864496562,80.9416880640498,88.5263531757938
762,Princeton,120,127,3,0.9,80,79.5,88.8333333333333,90.7580837186706,78.6335795185431,86.0974711175552
763,Princeton,120,128,1,0.5,80.5,78.3333333333333,92.8333333333333,88.7239797280922,79.5153594072793,95.3799246537571
764,Princeton,120,128,1,0.9,78.6666666666667,78.3333333333333,89,89.4165305146945,76.8577699856673,98.4784615384615
765,Princeton,120,128,2,0.5,81.3333333333333,78.3333333333333,89.1666666666667,89.1696463541529,79.5153594072793,90.5438703935292
766,Princeton,120,128,2,0.9,78.8333333333333,78.3333333333333,88,90.2617032892487,76.8577699856673,89.3072533797091
767,Princeton,120,128,3,0.5,81.3333333333333,78.8333333333333,87.8333333333333,89.1696463541529,80.2171533450671,87.7411196591794
768,Princeton,120,128,3,0.9,78.8333333333333,78.5,87.8333333333333,90.2617032892487,77.7553111829827,85.7227478511855
769,Princeton,120,129,1,0.5,79.6666666666667,77.3333333333333,92.6666666666667,88.2472609263683,78.5183531697771,95.2190878062646
770,Princeton,120,129,1,0.9,77.5,77.3333333333333,88,88.8910201280412,76.0292832093361,98.3394871794872
771,Princeton,120,129,2,0.5,80.1666666666667,77.3333333333333,88.5,88.7297779963658,78.5183531697771,89.9831589851637
772,Princeton,120,129,2,0.9,77.6666666666667,77.3333333333333,87.1666666666667,89.7651342484746,76.0292832093361,88.8542283136567
773,Princeton,120,129,3,0.5,80.1666666666667,77.8333333333333,87,88.7297779963658,79.2610523866241,86.9676843904031
774,Princeton,120,129,3,0.9,77.6666666666667,77.5,87,89.7651342484746,77.0855795209218,84.5655006297255
775,Princeton,120,130,1,0.5,78.3333333333333,76.5,92.1666666666667,87.565108370112,77.9650607935538,95.0276421715677
776,Princeton,120,130,1,0.9,76.8333333333333,76.5,87.6666666666667,88.4099056877041,74.9496498835685,98.3058974358974
777,Princeton,120,130,2,0.5,78.8333333333333,76.5,88.1666666666667,88.0609902034354,77.9650607935538,89.6466885340679
778,Princeton,120,130,2,0.9,76.8333333333333,76.5,87.1666666666667,89.3522151136492,74.9496498835685,88.0806320753857
779,Princeton,120,130,3,0.5,78.8333333333333,76.8333333333333,87,88.0609902034354,78.6808067457578,86.69261785066
780,Princeton,120,130,3,0.9,76.8333333333333,76.6666666666667,87,89.3522151136492,75.9536314151994,83.936937793719
781,Princeton,120,131,1,0.5,77.5,75.3333333333333,91.5,86.9212544276395,77.3595012874825,94.7312002219592
782,Princeton,120,131,1,0.9,75.8333333333333,75.3333333333333,87.6666666666667,87.8541944159316,74.0941880683008,98.3058974358974
783,Princeton,120,131,2,0.5,78.3333333333333,75.3333333333333,87.6666666666667,87.4190673145608,77.3595012874825,89.3292921772132
784,Princeton,120,131,2,0.9,76.3333333333333,75.3333333333333,86.5,88.8215075748184,74.0941880683008,87.8093095169001
785,Princeton,120,131,3,0.5,78.3333333333333,76.3333333333333,86,87.4190673145608,78.1634959785607,85.9564597910738
786,Princeton,120,131,3,0.9,76.3333333333333,75.6666666666667,86,88.8215075748184,75.1194403389,83.5082810392087
787,Princeton,120,132,1,0.5,76.5,74.8333333333333,91,86.3097246741428,76.6637110196255,94.4567296045939
788,Princeton,120,132,1,0.9,75.1666666666667,74.8333333333333,86.8333333333333,87.3007389190267,73.2544616086711,98.2389466110749
789,Princeton,120,132,2,0.5,77.3333333333333,74.8333333333333,86.8333333333333,86.8224560931226,76.6637110196255,88.8929363606897
790,Princeton,120,132,2,0.9,75.3333333333333,74.8333333333333,86,88.3185380415649,73.2544616086711,87.1945212608646
791,Princeton,120,132,3,0.5,77.3333333333333,75.3333333333333,85.6666666666667,86.8224560931226,77.4894508932735,85.3722352242639
792,Princeton,120,132,3,0.9,75.3333333333333,75,85.6666666666667,88.3185380415649,74.2769718754779,82.8348516200494
793,Princeton,120,133,1,0.5,86.5,84.6666666666667,95.5,92.2521435663295,84.9889520372845,97.4173110692232
794,Princeton,120,133,1,0.9,84.8333333333333,84.6666666666667,92.1666666666667,92.9433894737883,82.6533860783067,98.9307692307692
795,Princeton,120,133,2,0.5,86.8333333333333,84.6666666666667,92.8333333333333,92.5719148852547,84.9889520372845,93.9473822956552
796,Princeton,120,133,2,0.9,85,84.6666666666667,91.5,93.5129412256904,82.6533860783067,92.750402528078
797,Princeton,120,133,3,0.5,86.8333333333333,85,91.3333333333333,92.5719148852547,85.5132165758054,91.9239281678364
