"Mwache Weap verificaiton run (Oct 17, 2014) with Mwache_4_14_test all units are in cubic meters per month // Single user system",,,,,,,,
Year,Month,Date,Inflow,Nevap,Rel_Flood, Demand,Supply,Storage
2044,3,Mar-44,31946200,366595,25000000,6579657,6579657,65000000
2044,4,Apr-44,37656500,119483,31170000,6367410,6367410,65000000
2044,5,May-44,57523900,-62457,51007000,6579657,6579657,65000000
2044,6,Jun-44,23769000,138491,17263000,6367410,6367410,65000000
2044,7,Jul-44,17279500,122198,10578000,6579657,6579657,65000000
2044,8,Aug-44,10440100,200948,3659500,6579657,6579657,65000000
2044,9,Sep-44,11935400,282414,5285600,6367410,6367410,65000000
2044,10,Oct-44,7202480,209095,413730,6579657,6579657,65000000
2044,11,Nov-44,11912900,122198,5423300,6367410,6367410,65000000
2044,12,Dec-44,12890900,238966,6072300,6579657,6579657,65000000
2045,1,Jan-45,5290880,358448,0,6579657,6579657,63352775
2045,2,Feb-45,3625270,456207,0,5942916,5942916,60578923
2045,3,Mar-45,1520070,366595,0,6579657,6579657,55152742
2045,4,Apr-45,2651100,119483,0,6367410,6367410,51316950
2045,5,May-45,3783850,-62457,0,6579657,6579657,48583600
2045,6,Jun-45,2919400,102000,0,6367410,6367410,45033590
2045,7,Jul-45,2805490,90000,0,6579657,6579657,41169423
2045,8,Aug-45,6705800,148000,0,6579657,6579657,41147567
2045,9,Sep-45,3176110,208000,0,6367410,6367410,37748267
2045,10,Oct-45,1896250,154000,0,6579657,6579657,32910860
2045,11,Nov-45,5440230,90000,0,6367410,6367410,31893680
2045,12,Dec-45,3156660,176000,0,6579657,6579657,28294683
2046,1,Jan-46,3743640,198000,0,6579657,6579657,25260666
2046,2,Feb-46,1179720,252000,0,5942916,4609700,21578687
2046,3,Mar-46,33679000,202500,0,6579657,6579657,48475531
2046,4,Apr-46,15959700,88000,0,6367410,6367410,57979821
2046,5,May-46,10071700,-62457,0,6579657,6579657,61534321
2046,6,Jun-46,5230230,138491,0,6367410,6367410,60258650
2046,7,Jul-46,4089820,122198,0,6579657,6579657,57646615
2046,8,Aug-46,6498660,200948,0,6579657,6579657,57364670
2046,9,Sep-46,4000070,282414,0,6367410,6367410,54714917
2046,10,Oct-46,6332780,209095,0,6579657,6579657,54258946
2046,11,Nov-46,5267500,122198,0,6367410,6367410,53036838
2046,12,Dec-46,14553300,238966,0,6579657,6579657,60771516
2047,1,Jan-47,2549740,358448,0,6579657,6579657,56383151
2047,2,Feb-47,1510410,456207,0,5942916,5942916,51494439
2047,3,Mar-47,6715440,366595,0,6579657,6579657,51263628
2047,4,Apr-47,15716400,119483,0,6367410,6367410,60493136
2047,5,May-47,44319000,-62457,33295000,6579657,6579657,65000000
2047,6,Jun-47,13622500,138491,7116600,6367410,6367410,65000000
2047,7,Jul-47,16152100,122198,9450200,6579657,6579657,65000000
2047,8,Aug-47,7532990,200948,752390,6579657,6579657,65000000
2047,9,Sep-47,10228700,282414,3578900,6367410,6367410,65000000
2047,10,Oct-47,22009600,209095,15221000,6579657,6579657,65000000
2047,11,Nov-47,23333900,122198,16844000,6367410,6367410,65000000
2047,12,Dec-47,21092600,238966,14274000,6579657,6579657,65000000
2048,1,Jan-48,3431290,358448,0,6579657,6579657,61493185
2048,2,Feb-48,7530740,456207,0,5942916,5942916,62624803
2048,3,Mar-48,2768900,366595,0,6579657,6579657,58447452
2048,4,Apr-48,8591140,119483,0,6367410,6367410,60551700
2048,5,May-48,44276700,-62457,33311000,6579657,6579657,65000000
2048,6,Jun-48,19634500,138491,13129000,6367410,6367410,65000000
2048,7,Jul-48,15023800,122198,8321900,6579657,6579657,65000000
2048,8,Aug-48,7756970,200948,976370,6579657,6579657,65000000
2048,9,Sep-48,8923670,282414,2273800,6367410,6367410,65000000
2048,10,Oct-48,4957490,209095,0,6579657,6579657,63168739
2048,11,Nov-48,5546390,122198,0,6367410,6367410,62225521
2048,12,Dec-48,5345440,238966,0,6579657,6579657,60752339
2049,1,Jan-49,2604640,358448,0,6579657,6579657,56418874
2049,2,Feb-49,2180650,456207,0,5942916,5942916,52200402
2049,3,Mar-49,1061520,366595,0,6579657,6579657,46315671
2049,4,Apr-49,15468200,88000,0,6367410,6367410,55328461
2049,5,May-49,9160700,-62457,0,6579657,6579657,57971961
2049,6,Jun-49,8670210,138491,0,6367410,6367410,60136270
2049,7,Jul-49,5770300,122198,0,6579657,6579657,59204715
2049,8,Aug-49,3173800,200948,0,6579657,6579657,55597910
2049,9,Sep-49,3496730,282414,0,6367410,6367410,52444817
2049,10,Oct-49,10033200,209095,0,6579657,6579657,55689266
2049,11,Nov-49,17685700,122198,1885400,6367410,6367410,65000000
2049,12,Dec-49,16602400,238966,9783800,6579657,6579657,65000000
2050,1,Jan-50,3409220,358448,0,6579657,6579657,61471115
2050,2,Feb-50,8448410,456207,0,5942916,5942916,63520403
2050,3,Mar-50,3711100,366595,0,6579657,6579657,60285252
2050,4,Apr-50,26208000,119483,15006000,6367410,6367410,65000000
2050,5,May-50,14946200,-62457,8429000,6579657,6579657,65000000
2050,6,Jun-50,5047740,138491,0,6367410,6367410,63541839
2050,7,Jul-50,6936740,122198,0,6579657,6579657,63776724
2050,8,Aug-50,4557940,200948,0,6579657,6579657,61554059
2050,9,Sep-50,3575460,282414,0,6367410,6367410,58479696
2050,10,Oct-50,2987170,209095,0,6579657,6579657,54678115
2050,11,Nov-50,9919920,122198,0,6367410,6367410,58108427
2050,12,Dec-50,9949000,238966,0,6579657,6579657,61238805
2051,1,Jan-51,4789150,358448,0,6579657,6579657,59089850
2051,2,Feb-51,1667680,456207,0,5942916,5942916,54358408
2051,3,Mar-51,2493910,366595,0,6579657,6579657,49906067
2051,4,Apr-51,18846300,88000,0,6367410,6367410,62296957
2051,5,May-51,24299000,-62457,15079000,6579657,6579657,65000000
2051,6,Jun-51,5486130,138491,0,6367410,6367410,63980229
2051,7,Jul-51,4159190,122198,0,6579657,6579657,61437564
2051,8,Aug-51,5194390,200948,0,6579657,6579657,59851349
2051,9,Sep-51,3476450,282414,0,6367410,6367410,56677976
2051,10,Oct-51,3065840,209095,0,6579657,6579657,52955065
2051,11,Nov-51,4770690,122198,0,6367410,6367410,51236147
2051,12,Dec-51,14064500,238966,0,6579657,6579657,58482025
2052,1,Jan-52,6999250,358448,0,6579657,6579657,58543170
2052,2,Feb-52,1653960,456207,0,5942916,5942916,53798008
2052,3,Mar-52,514405,366595,0,6579657,6579657,47366162
2052,4,Apr-52,6101170,88000,0,6367410,6367410,47011922
2052,5,May-52,11791400,-46000,0,6579657,6579657,52269665
2052,6,Jun-52,3568550,138491,0,6367410,6367410,49332314
2052,7,Jul-52,5041080,90000,0,6579657,6579657,47703737
2052,8,Aug-52,9346150,148000,0,6579657,6579657,50322231
2052,9,Sep-52,3728500,282414,0,6367410,6367410,47400908
2052,10,Oct-52,2553150,154000,0,6579657,6579657,43220402
2052,11,Nov-52,3096350,90000,0,6367410,6367410,39859342
2052,12,Dec-52,2266510,176000,0,6579657,6579657,35370195
2053,1,Jan-53,3657440,264000,0,6579657,6579657,32183979
